epoch,layer,mean_angle_deg,max_angle_deg
1,bert.encoder.layer.10.attention.self.value,21.816143035888672,89.9807357788086
1,bert.encoder.layer.11.attention.self.query,7.669593811035156,89.57121276855469
1,bert.encoder.layer.11.attention.self.key,5.45919132232666,88.69886016845703
1,bert.encoder.layer.11.attention.self.value,27.88399887084961,89.83563232421875
2,bert.encoder.layer.0.attention.self.query,6.707306385040283,89.61402130126953
2,bert.encoder.layer.0.attention.self.key,9.787978172302246,88.22069549560547
2,bert.encoder.layer.0.attention.self.value,17.4796199798584,88.86843872070312
2,bert.encoder.layer.1.attention.self.query,3.3038418292999268,10.24921989440918
2,bert.encoder.layer.1.attention.self.key,6.034158706665039,81.4925308227539
2,bert.encoder.layer.1.attention.self.value,10.111220359802246,89.8924331665039
2,bert.encoder.layer.2.attention.self.query,5.618650913238525,84.5613021850586
2,bert.encoder.layer.2.attention.self.key,8.721809387207031,89.0541000366211
2,bert.encoder.layer.2.attention.self.value,8.255773544311523,86.79151153564453
2,bert.encoder.layer.3.attention.self.query,6.106387138366699,87.48297882080078
2,bert.encoder.layer.3.attention.self.key,11.366727828979492,89.35274505615234
2,bert.encoder.layer.3.attention.self.value,17.106000900268555,89.64727020263672
2,bert.encoder.layer.4.attention.self.query,11.45444107055664,89.67546081542969
2,bert.encoder.layer.4.attention.self.key,10.656871795654297,89.94342803955078
2,bert.encoder.layer.4.attention.self.value,14.701569557189941,89.96345520019531
2,bert.encoder.layer.5.attention.self.query,12.155187606811523,89.81843566894531
2,bert.encoder.layer.5.attention.self.key,14.282779693603516,89.36798095703125
2,bert.encoder.layer.5.attention.self.value,14.937971115112305,89.81429290771484
2,bert.encoder.layer.6.attention.self.query,9.08173942565918,89.36514282226562
2,bert.encoder.layer.6.attention.self.key,11.622834205627441,89.73400115966797
2,bert.encoder.layer.6.attention.self.value,16.140920639038086,89.9013671875
2,bert.encoder.layer.7.attention.self.query,8.79054069519043,89.46550750732422
2,bert.encoder.layer.7.attention.self.key,10.925066947937012,88.97462463378906
2,bert.encoder.layer.7.attention.self.value,26.249406814575195,89.40843963623047
2,bert.encoder.layer.8.attention.self.query,11.613443374633789,89.03627014160156
2,bert.encoder.layer.8.attention.self.key,8.528264999389648,88.26615142822266
2,bert.encoder.layer.8.attention.self.value,23.292078018188477,89.49525451660156
2,bert.encoder.layer.9.attention.self.query,15.72745132446289,89.8965835571289
2,bert.encoder.layer.9.attention.self.key,8.766834259033203,89.90151977539062
2,bert.encoder.layer.9.attention.self.value,42.83209228515625,89.90885162353516
2,bert.encoder.layer.10.attention.self.query,17.522804260253906,89.89835357666016
2,bert.encoder.layer.10.attention.self.key,25.139137268066406,89.83224487304688
2,bert.encoder.layer.10.attention.self.value,31.934513092041016,89.88524627685547
2,bert.encoder.layer.11.attention.self.query,8.006674766540527,88.81517791748047
2,bert.encoder.layer.11.attention.self.key,11.36987018585205,89.88497161865234
2,bert.encoder.layer.11.attention.self.value,36.34820556640625,89.88140106201172
3,bert.encoder.layer.0.attention.self.query,7.02652645111084,88.97345733642578
3,bert.encoder.layer.0.attention.self.key,8.69447135925293,87.33109283447266
3,bert.encoder.layer.0.attention.self.value,21.91899871826172,89.90046691894531
3,bert.encoder.layer.1.attention.self.query,3.662637710571289,12.082123756408691
3,bert.encoder.layer.1.attention.self.key,6.497270584106445,84.56603240966797
3,bert.encoder.layer.1.attention.self.value,10.62799072265625,89.87364959716797
3,bert.encoder.layer.2.attention.self.query,5.9230146408081055,85.34040069580078
3,bert.encoder.layer.2.attention.self.key,11.421151161193848,89.37749481201172
3,bert.encoder.layer.2.attention.self.value,10.841092109680176,85.81494903564453
3,bert.encoder.layer.3.attention.self.query,6.470644950866699,87.9463119506836
3,bert.encoder.layer.3.attention.self.key,14.182395935058594,89.08001708984375
3,bert.encoder.layer.3.attention.self.value,17.443256378173828,89.26883697509766
3,bert.encoder.layer.4.attention.self.query,11.853602409362793,88.42675018310547
3,bert.encoder.layer.4.attention.self.key,14.12883186340332,89.7248764038086
3,bert.encoder.layer.4.attention.self.value,17.494277954101562,89.78245544433594
3,bert.encoder.layer.5.attention.self.query,17.275270462036133,89.73039245605469
3,bert.encoder.layer.5.attention.self.key,14.468257904052734,89.96638488769531
3,bert.encoder.layer.5.attention.self.value,17.85163688659668,89.7383804321289
3,bert.encoder.layer.6.attention.self.query,9.391227722167969,89.36199188232422
3,bert.encoder.layer.6.attention.self.key,17.011926651000977,89.63641357421875
3,bert.encoder.layer.6.attention.self.value,17.046947479248047,89.38324737548828
3,bert.encoder.layer.7.attention.self.query,9.129606246948242,89.91792297363281
3,bert.encoder.layer.7.attention.self.key,11.23379898071289,88.83903503417969
3,bert.encoder.layer.7.attention.self.value,32.395233154296875,89.8791275024414
3,bert.encoder.layer.8.attention.self.query,9.664085388183594,88.99992370605469
3,bert.encoder.layer.8.attention.self.key,13.751238822937012,88.6654052734375
3,bert.encoder.layer.8.attention.self.value,26.358200073242188,89.98367309570312
3,bert.encoder.layer.9.attention.self.query,16.995988845825195,89.56085968017578
3,bert.encoder.layer.9.attention.self.key,9.046485900878906,89.41240692138672
3,bert.encoder.layer.9.attention.self.value,43.14277648925781,89.86427307128906
3,bert.encoder.layer.10.attention.self.query,17.948230743408203,89.6897201538086
3,bert.encoder.layer.10.attention.self.key,30.595762252807617,89.92619323730469
3,bert.encoder.layer.10.attention.self.value,40.32642364501953,89.99072265625
3,bert.encoder.layer.11.attention.self.query,10.749343872070312,89.92333221435547
3,bert.encoder.layer.11.attention.self.key,14.035441398620605,89.96397399902344
3,bert.encoder.layer.11.attention.self.value,39.464698791503906,89.92428588867188
4,bert.encoder.layer.0.attention.self.query,7.153619766235352,88.79550170898438
4,bert.encoder.layer.0.attention.self.key,11.155784606933594,87.96251678466797
4,bert.encoder.layer.0.attention.self.value,24.624757766723633,89.69721984863281
4,bert.encoder.layer.1.attention.self.query,3.799642562866211,12.580248832702637
4,bert.encoder.layer.1.attention.self.key,6.636787414550781,84.81716918945312
4,bert.encoder.layer.1.attention.self.value,10.73935317993164,89.98300170898438
4,bert.encoder.layer.2.attention.self.query,5.985737323760986,84.441162109375
4,bert.encoder.layer.2.attention.self.key,11.446593284606934,89.1258316040039
4,bert.encoder.layer.2.attention.self.value,10.779020309448242,85.78397369384766
